Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,Goals_H_HT,Goals_A_HT,TotalGoals_HT,Goals_H_FT,Goals_A_FT,TotalGoals_FT,Goals_H_Minutes,Goals_A_Minutes,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home_Pre,PPG_Away_Pre,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,ShotsOnTarget_H,ShotsOnTarget_A,ShotsOffTarget_H,ShotsOffTarget_A,Shots_H,Shots_A,Corners_H_FT,Corners_A_FT,TotalCorners_FT,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
1,7373175,Brazil Serie A,2024,2024-04-13 18:30:00,1,Internacional,Bahia,0,0,0,2,1,3,"['72', '83']",['70'],"2,5","2,1","4,75","1,44","2,63",3,"1,36",9,"1,07","1,75","3,45","4,5","1,03","8,2","1,32","2,98","1,95","1,75","1,95","1,8","1,18","1,25","2,1",0,0,2,"1,33",0,0,0,10,5,7,3,17,8,6,3,9,"1,65","9,6","2,78","1,25","3,6","1,38","2,8","1,92","1,88","2,13","1,63","2,8","1,38"
2,7373184,Brazil Serie A,2024,2024-04-13 18:30:00,1,Criciúma,Juventude,1,0,1,1,1,2,['36'],['64'],"2,88",2,"4,33","1,5","2,5","3,5","1,29",11,"1,05","2,1","3,05","3,5","1,05",7,"1,41","2,61","2,3","1,55","2,05","1,7","1,28","1,37","1,52",0,0,1,"0,5",0,0,0,4,5,4,7,8,12,0,4,4,"1,87",9,"2,36","1,26","3,34","1,48","2,47",2,"1,8","2,47","1,48","3,28","1,27"
3,7373178,Brazil Serie A,2024,2024-04-13 21:00:00,1,Fluminense,Bragantino,1,0,1,2,2,4,"['45+4', '68']","['47', '52']","2,63","2,05","4,5","1,44","2,63",3,"1,36",9,"1,07","1,95","3,3","4,2","1,03","8,2","1,35","3,3","2,15","1,67","1,95","1,8","1,3","1,25","1,78",0,0,"1,67",1,0,0,0,12,9,10,7,22,16,13,6,19,"1,67","9,5","2,74","1,18","4,33","1,3","3,2","1,52","2,49","1,9","1,9","2,2","1,67"
4,7373181,Brazil Serie A,2024,2024-04-13 21:00:00,1,São Paulo,Fortaleza,0,0,0,1,2,3,['84'],"['66', '80']","2,63",2,"4,75","1,5","2,5","3,5","1,29",11,"1,05","1,95","3,3",4,"1,05","6,95","1,44","2,85","2,35","1,57","2,05","1,7","1,22","1,28","1,9",0,0,"0,5",2,0,0,0,7,3,5,3,12,6,11,4,15,"1,48","9,9","3,4","1,29","3,3","1,51","2,5","2,2","1,82","2,17","1,68","2,88","1,36"
5,7373179,Brazil Serie A,2024,2024-04-14 16:00:00,1,Vasco da Gama,Grêmio,2,0,2,2,1,3,"['24', '37']",['68'],3,"2,05","3,75","1,44","2,63","3,25","1,33",9,"1,07","2,15","3,3","3,2","1,03","7,9","1,37","3,21",2,"1,73","1,91","1,91","1,33","1,28","1,68",0,0,"1,5",0,0,0,0,4,3,7,5,11,8,3,5,8,"1,62","9,5","2,88","1,18","4,33","1,32","3,1",2,"2,55","1,8","1,9","2,27","1,56"
6,7373180,Brazil Serie A,2024,2024-04-14 16:00:00,1,Corinthians,Atlético Mineiro,0,0,0,0,0,0,[],[],"3,4","1,91","3,75","1,57","2,25","3,75","1,25",13,"1,04","2,6",3,"2,75","1,12","6,7","1,51","2,32","2,2","1,6","2,1","1,67","1,4","1,33","1,52",0,0,"1,67","1,67",0,0,0,3,4,7,2,10,6,3,3,6,"2,03","8,5","2,15","1,29","3,4","1,34",3,"2,25","2,25","2,03","1,7","2,65","1,42"
7,7373182,Brazil Serie A,2024,2024-04-14 16:00:00,1,Atlético PR,Cuiabá,3,0,3,4,0,4,"['23', '37', '39', '81']",[],"2,25","2,1","6,5","1,5","2,5","3,4","1,3",10,"1,06","1,53","3,75",6,"1,04","7,4","1,43","2,9","2,12","1,64","2,2","1,62","1,09","1,27","2,15",0,0,3,0,0,0,0,10,2,6,1,16,3,7,0,7,"1,41","11,5","3,6","1,2",4,"1,28","3,35",2,"2,37","1,9","1,8","2,45","1,49"
8,7373183,Brazil Serie A,2024,2024-04-14 16:00:00,1,Atlético GO,Flamengo,0,1,1,1,2,3,['63'],"['45+6', '90+13']",5,"2,1","2,5","1,4","2,75",3,"1,36",8,"1,08","4,2","3,5","1,8","1,02","8,9","1,33","3,43","1,96","1,89","1,95","1,8","2,05","1,22","1,2",0,0,0,"1,67",0,0,0,5,3,5,8,10,11,4,4,8,"2,74","9,5","1,67","1,18","4,33","1,35","2,95","2,2","2,22","2,07","1,67","2,7","1,41"
9,7373176,Brazil Serie A,2024,2024-04-14 17:00:00,1,Cruzeiro,Botafogo,1,1,2,3,2,5,"['20', '65', '90+1']","['5', '83']","3,1","1,95",4,"1,57","2,25","3,75","1,25",11,"1,05","2,15","3,1","3,4","1,11","7,26","1,48","2,4","2,45","1,48","2,05","1,7","1,33","1,3","1,65",0,0,3,"1,5",0,0,0,6,4,4,3,10,7,6,3,9,"1,45","9,7","3,6","1,25","3,6","1,42","2,65","1,73","1,99","2,2","1,6","2,9","1,36"
10,7373177,Brazil Serie A,2024,2024-04-14 18:30:00,1,Vitória,Palmeiras,0,1,1,0,1,1,[],['20'],"4,75","2,1","2,5","1,36",3,"2,75","1,4",8,"1,08",5,"3,8","1,62","1,01","9,4","1,31","3,57","1,83","2,03","1,95","1,8","2,05","1,2","1,18",0,0,"0,33","2,33",0,0,0,6,5,4,7,10,12,3,9,12,"2,78","9,6","1,65","1,22","3,65","1,5","2,4","2,38","1,85","2,4","1,5","3,3","1,29"
11,7373187,Brazil Serie A,2024,2024-04-16 21:30:00,2,Bahia,Fluminense,1,1,2,2,1,3,"['34', '61']",['4'],"2,75","2,2","3,75","1,42","2,65","2,8","1,38",7,"1,07","2,15","3,4","3,5","1,05","9,9","1,34","3,44","1,9","1,9","1,7","2,05","1,3","1,35","1,7",0,0,3,0,0,0,0,6,4,5,3,11,7,4,3,7,"1,62","9,5","2,88","1,17","4,4","1,34",3,"2,2","2,25","1,95","1,77","2,4","1,5"
12,7373185,Brazil Serie A,2024,2024-04-17 19:00:00,2,Grêmio,Atlético PR,1,0,1,2,0,2,"['19', '51']",[],"3,25","2,05","3,4","1,44","2,63","3,25","1,33",9,"1,07","2,6","3,25","2,75","1,07",8,"1,38",3,"2,1","1,7","1,91","1,91","1,22","1,25","1,7",0,0,3,"0,5",0,0,0,8,0,4,4,12,4,9,2,11,"1,64","9,9","2,78","1,17","4,1","1,28","3,35","1,91","2,4","1,95","1,77","2,45","1,49"
13,7373191,Brazil Serie A,2024,2024-04-17 19:00:00,2,Bragantino,Vasco da Gama,1,0,1,2,1,3,"['7', '78']",['63'],"2,6","2,2","4,5","1,44","2,88","3,17","1,37","6,75","1,07","1,91","3,5","4,2","1,07","9,5","1,35","3,25",2,"1,8","1,8","1,95","1,2","1,28","1,85",0,0,"2,33",0,0,0,0,6,4,9,8,15,12,4,6,10,"1,37","10,5","4,1","1,09","5,7","1,27","3,1","1,4","2,75","1,77","1,95","2,17","1,61"
14,7373194,Brazil Serie A,2024,2024-04-17 20:00:00,2,Juventude,Corinthians,0,0,0,2,0,2,"['53', '59']",[],"4,33","1,83","3,2","1,5","2,45","3,25","1,3","7,5","1,05","3,5",3,"2,3","1,08","8,7","1,42","2,88","2,88","1,4","2,25","1,57","1,36","1,28","1,44",0,0,2,0,0,0,0,9,3,4,11,13,14,6,7,13,"1,72","9,1","2,64","1,25","3,6","1,41","2,7","2,2","1,95","2,22","1,59","2,95","1,35"
15,7373192,Brazil Serie A,2024,2024-04-17 20:00:00,2,Fortaleza,Cruzeiro,1,0,1,1,1,2,['19'],['89'],"2,75",2,"4,75","1,5","2,5","3,5","1,29",11,"1,05","1,95","3,4",4,"1,08","7,5","1,42","2,8","2,25","1,62","2,05","1,7","1,22","1,28","1,65",0,0,1,"0,5",0,0,0,4,7,6,6,10,13,7,5,12,"1,87",9,"2,36","1,25","3,6","1,31","3,15",2,"2,25",2,"1,73","2,6","1,44"
16,7373186,Brazil Serie A,2024,2024-04-17 20:00:00,2,Atlético Mineiro,Criciúma,1,0,1,1,1,2,['40'],['84'],"2,05","2,2",7,"1,35",3,"2,6","1,45","5,75","1,1","1,5",4,7,"1,04","13,5","1,26","3,87","2,05","1,75","2,2","1,62","1,04","1,14","2,75",0,0,2,2,0,0,0,7,2,8,4,15,6,9,2,11,"1,28","13,5","4,68","1,19","3,9","1,4","2,75","2,2","2,05","2,05","1,7","2,48","1,44"
17,7373190,Brazil Serie A,2024,2024-04-17 20:00:00,2,Palmeiras,Internacional,0,1,1,0,1,1,[],['45'],"2,3","2,1",6,"1,44","2,63","3,25","1,33",9,"1,07","1,65","3,6",6,"1,06","8,5","1,35","3,1","2,2","1,65","2,1","1,67","1,1","1,2","2,2",0,0,"0,5","1,5",0,0,0,4,3,11,3,15,6,6,2,8,"1,42","10,5","3,7","1,29","3,3","1,39","2,77","2,2","1,95","2,2","1,6","2,9","1,36"
18,7373188,Brazil Serie A,2024,2024-04-17 21:30:00,2,Flamengo,São Paulo,1,0,1,2,1,3,"['20', '54']",['79'],"2,3","2,1","5,5","1,4","2,75",3,"1,36",8,"1,08","1,62","3,6",6,"1,06","8,5","1,33","3,2","2,15","1,67","2,05","1,7","1,09","1,22","2,15",0,0,2,2,0,0,0,7,4,4,3,11,7,9,1,10,"1,47","8,5","3,2","1,22","3,55","1,42","2,55","2,1","1,97","2,15","1,6","2,75","1,35"
19,7373189,Brazil Serie A,2024,2024-04-18 21:30:00,2,Botafogo,Atlético GO,1,0,1,1,0,1,['32'],[],"2,38","2,1","5,5","1,42","2,62","2,95","1,35",7,"1,06","1,73","3,5",5,"1,07",8,"1,36","3,1","2,08","1,73","1,95","1,8","1,1","1,2","2,45",0,0,2,"0,5",0,0,0,5,4,6,4,11,8,8,8,16,"1,6",8,"2,75","1,25","3,3","1,47","2,4","2,38","1,87","2,28","1,53","2,95","1,3"
20,7373198,Brazil Serie A,2024,2024-04-20 16:00:00,3,Fluminense,Vasco da Gama,1,0,1,2,1,3,"['10', '53']",['55'],"2,6","2,1","4,5","1,4","2,75",3,"1,36",8,"1,08","1,94","3,47","4,11","1,02","8,7","1,29","3,15","1,95","1,76","1,91","1,91","1,18","1,28","2,11",1,0,"1,67",0,"2,75","1,34","4,09",9,6,2,9,11,15,2,7,9,"1,62",11,"2,78","1,19","3,8","1,44","2,65","2,2",2,"2,15","1,65","2,55","1,4"
21,7373201,Brazil Serie A,2024,2024-04-20 18:30:00,3,Bragantino,Corinthians,1,0,1,1,0,1,['5'],[],"2,88","2,05",4,"1,44","2,63","3,25","1,33",9,"1,07","1,8","3,48","4,9","1,06","8,5","1,35","3,1","2,3","1,55","1,95","1,8","1,25","1,25","1,83",3,0,"2,33",0,"1,76","1,43","3,19",4,5,5,8,9,13,3,4,7,"1,47","10,5","3,4","1,21","3,65","1,4","2,6","1,83","2,4","1,95","1,85","2,3","1,57"
22,7373195,Brazil Serie A,2024,2024-04-20 18:30:00,3,Grêmio,Cuiabá,1,0,1,1,0,1,['44'],[],"2,4","2,05",6,"1,44","2,63",3,"1,36",9,"1,07","1,72","3,67","5,1","1,07",8,"1,35","3,1","2,05","1,7","2,2","1,62","1,11","1,22","2,3",3,0,3,0,"1,64","0,45","2,09",5,4,3,8,8,12,3,4,7,"1,47","10,5","3,4","1,21","3,6","1,41","2,55",2,"2,1",2,"1,73","2,6","1,45"
23,7373196,Brazil Serie A,2024,2024-04-20 21:00:00,3,Atlético Mineiro,Cruzeiro,3,0,3,3,0,3,"['25', '35', '45+2']",[],"2,63",2,5,"1,5","2,5","3,4","1,3",10,"1,06","1,91","3,5",4,"1,07",8,"1,42","2,8","2,35","1,57","2,2","1,62","1,18","1,22","2,05",1,1,2,"0,5","1,95","1,64","3,59",5,4,3,1,8,5,4,4,8,"1,87",9,"2,36","1,19","3,85","1,36","2,75","2,25","2,05","2,05","1,7","2,6","1,45"
24,7373200,Brazil Serie A,2024,2024-04-21 16:00:00,3,Palmeiras,Flamengo,0,0,0,0,0,0,[],[],3,"2,05",4,"1,44","2,63","3,25","1,33",9,"1,07","2,2","3,13",3,"1,06","8,5","1,35","3,1","2,05","1,7",2,"1,75","1,35","1,28","1,6",0,3,"0,5","1,67","1,49","1,26","2,75",2,4,8,3,10,7,6,5,11,"1,57","10,5","2,97","1,22","3,5","1,45","2,6","2,1",2,"2,2","1,62","2,8","1,34"
25,7373197,Brazil Serie A,2024,2024-04-21 16:00:00,3,Vitória,Bahia,1,0,1,2,2,4,"['20', '57']","['69', '72']","3,5","2,05","3,2","1,5","2,5","3,4","1,3",10,"1,06","2,6","3,2","2,8","1,08","7,5","1,42","2,8","2,15","1,57","1,8","1,95","1,42","1,3","1,48",0,0,"0,33","1,33","1,33","1,09","2,42",9,8,4,6,13,14,2,7,9,"1,92","8,4","2,3","1,28","3,1","1,53","2,4",2,"1,8","2,4","1,53","3,15","1,27"
26,7373202,Brazil Serie A,2024,2024-04-21 16:00:00,3,Atlético PR,Internacional,0,0,0,1,0,1,['71'],[],"2,63","2,05","4,5","1,44","2,63","3,25","1,33",10,"1,06","1,83","3,6",4,"1,04","7,7","1,36","2,8",2,"1,67",2,"1,75","1,25","1,25","1,83",3,3,3,"1,5","2,21","0,79",3,0,2,5,4,5,6,5,3,8,"1,5","9,1","3,4","1,26","3,2","1,5","2,45","2,38","1,88","2,3","1,57","3,05","1,29"
27,7373203,Brazil Serie A,2024,2024-04-21 18:30:00,3,Atlético GO,São Paulo,0,1,1,0,3,3,[],"['14', '52', '76']","3,5","1,95","3,6","1,5","2,5","3,5","1,29",11,"1,05","2,8","2,9","2,45","1,05","7,2","1,39","2,68","2,38","1,53","2,05","1,7","1,6","1,28","1,36",0,0,0,2,"1,21","0,91","2,12",2,8,4,4,6,12,4,3,7,"2,15","8,5","2,03","1,23","3,45","1,45","2,6","2,2",2,"2,2","1,62","2,8","1,34"
28,7373199,Brazil Serie A,2024,2024-04-21 18:30:00,3,Botafogo,Juventude,2,0,2,5,1,6,"['4', '9', '53', '61', '80']",['85'],"2,38","2,1","5,5","1,44","2,63","3,25","1,33",9,"1,07","1,73","3,6","4,75","1,03",8,"1,33","2,93",2,"1,65","2,1","1,67","1,24","1,31","1,89",3,1,2,"0,5","1,4","1,58","2,98",7,2,5,5,12,7,5,4,9,"1,57","9,3","3,07","1,27","3,15","1,95","1,85",2,"1,73","2,6","1,45","3,05","1,28"
29,7373209,Brazil Serie A,2024,2024-04-27 16:00:00,4,Vasco da Gama,Criciúma,0,1,1,0,4,4,[],"['32', '47', '55', '69']","2,1","2,2","6,5","1,42","2,65","2,95","1,35",7,"1,06","1,61","3,5","4,6","1,06","8,5","1,33","3,2","2,05","1,7","2,2","1,62","1,15","1,22","2,2",3,1,"1,5",2,"1,35","0,77","2,12",6,11,8,5,14,16,5,4,9,"1,34",10,4,"1,23","3,4","1,46","2,43",2,"1,92","2,23","1,55","2,88","1,32"
30,7373213,Brazil Serie A,2024,2024-04-27 18:30:00,4,Cuiabá,Atlético Mineiro,0,1,1,0,3,3,[],"['28', '61', '78']","4,33","1,91","3,1","1,55","2,3","3,5","1,25","8,25","1,04","3,25",3,"2,1","1,1","7,5","1,5","2,4","2,37","1,53","2,25","1,57","1,75","1,35","1,27",0,1,0,"1,67",0,"0,85","0,85",2,6,2,5,4,11,3,10,13,"2,35","7,5","1,77","1,23","3,4","1,44","2,45","2,2","1,92",2,"1,8","2,88","1,32"
31,7373207,Brazil Serie A,2024,2024-04-27 21:00:00,4,Bahia,Grêmio,1,0,1,1,0,1,['17'],[],"2,5","2,2","4,5","1,4","2,75",3,"1,36",8,"1,08","1,91","3,6",4,"1,05",10,"1,33","3,25","1,95","1,85","1,8","1,95","1,3","1,25","1,78",3,0,3,0,"1,55","1,03","2,58",5,3,5,1,10,4,4,0,4,"1,61",8,"2,7","1,2","3,65","1,38","2,65","1,91","2,02",2,"1,8","2,65","1,38"
32,7373208,Brazil Serie A,2024,2024-04-28 11:00:00,4,Flamengo,Botafogo,0,0,0,0,2,2,[],"['53', '90+3']","2,25","2,2","5,5","1,4","2,75",3,"1,36",8,"1,08","1,6","3,61",5,"1,06","11,25","1,33","3,33","2,03","1,85","1,95","1,8","1,19","1,25","2,15",3,0,2,"1,5","1,46","0,91","2,37",0,4,12,1,12,5,8,3,11,"1,44","8,5","3,4","1,24","3,3","1,46","2,4","2,2","1,9","2,25","1,54","2,9","1,3"
33,7373206,Brazil Serie A,2024,2024-04-28 16:00:00,4,Cruzeiro,Vitória,0,0,0,3,1,4,"['50', '58', '75']",['52'],"2,25","2,1","6,5","1,5","2,5","3,4","1,3",10,"1,06","1,53","3,6","5,5","1,07",9,"1,42","2,85","2,1","1,65","2,2","1,62","1,16","1,22","2,2",3,0,3,0,"1,46",0,"1,46",7,4,5,6,12,10,10,4,14,"1,41",9,"3,55","1,26","3,25","1,48","2,38","2,1","1,86","2,28","1,52",3,"1,3"
34,7373210,Brazil Serie A,2024,2024-04-28 16:00:00,4,Corinthians,Fluminense,2,0,2,3,0,3,"['40', '45+2', '47']",[],3,2,4,"1,5","2,5","3,4","1,3",10,"1,06","2,3","2,9","2,9","1,08","8,5","1,44","2,8","2,3","1,55","1,95","1,8","1,35","1,28","1,63",1,0,"1,67",0,"1,12","0,99","2,11",8,3,4,5,12,8,6,8,14,"1,82",9,"2,44","1,19","3,98","1,39","2,76",2,"2,08","2,12","1,64","2,78","1,36"
35,7373212,Brazil Serie A,2024,2024-04-28 18:30:00,4,Fortaleza,Bragantino,1,1,2,1,1,2,['9'],['40'],"2,63","2,1","4,5","1,44","2,63","3,25","1,33",9,"1,07","2,1",3,"3,25","1,07","9,7","1,35","3,22","2,2","1,6","1,91","1,91","1,27","1,35","1,78",1,1,1,1,"1,19","1,97","3,16",6,5,10,4,16,9,12,6,18,"1,7","8,5","2,45","1,19","3,9","1,35","2,75","1,61","2,12","1,85","1,95","2,5","1,42"
36,7373214,Brazil Serie A,2024,2024-04-28 18:30:00,4,Juventude,Atlético PR,1,0,1,1,1,2,['8'],['73'],4,2,3,"1,53","2,38","3,5","1,29",11,"1,05","2,8","2,87","2,4","1,08","6,5","1,42","2,62","2,3","1,53","1,95","1,8","1,6","1,36","1,35",3,0,2,"0,5","1,65","0,6","2,25",6,7,6,5,12,12,4,6,10,"2,08","8,5","2,1","1,22","3,45","1,43","2,5","2,2",2,"2,16","1,58","2,75","1,35"
37,7373205,Brazil Serie A,2024,2024-04-28 20:00:00,4,Internacional,Atlético GO,0,0,0,1,1,2,['55'],['50'],"2,2","2,1","6,5","1,36",3,"2,75","1,4",7,"1,1","1,57","3,8","6,5","1,03",12,"1,28","3,6","2,1","1,7","2,1","1,67","1,1","1,17","2,7",3,0,2,"0,5","2,13","1,18","3,31",6,3,9,0,15,3,13,0,13,"1,38",9,"3,75","1,18",4,"1,34","2,8","2,2","2,17","1,95","1,74","2,45","1,45"
38,7373211,Brazil Serie A,2024,2024-04-29 20:00:00,4,São Paulo,Palmeiras,0,0,0,0,0,0,[],[],"3,25","1,91",4,"1,57","2,25","3,75","1,25",11,"1,05","2,45","2,9","3,25","1,06","6,6","1,53","2,38","2,6","1,48","2,2","1,62","1,53","1,33","1,4",0,3,"0,5","2,33","1,75","1,42","3,17",2,4,8,3,10,7,6,4,10,"1,97","8,8","2,2","1,18",4,"1,38","2,8","1,91","2,09","2,11","1,65","2,75","1,37"
39,7373218,Brazil Serie A,2024,2024-05-04 16:00:00,5,Fluminense,Atlético Mineiro,1,0,1,2,2,4,"['4', '61']","['73', '79']",4,"2,05",3,"1,44","2,63","3,4","1,3",10,"1,06","1,86","3,35","3,85","1,05",8,"1,36","2,88","2,2","1,55","1,95","1,8","1,5","1,35","1,44",2,2,"1,67","1,67","2,22","1,21","3,43",6,8,3,6,9,14,4,11,15,"2,2","7,5","1,88","1,26","3,2","1,49","2,35","2,1","1,85","2,32","1,5",3,"1,29"
40,7373221,Brazil Serie A,2024,2024-05-04 18:30:00,5,Bragantino,Flamengo,1,0,1,1,1,2,['30'],['79'],"3,6","2,05","3,2","1,44","2,63","3,25","1,33",9,"1,07","2,96","3,2","2,25","1,04","8,5","1,33",3,"2,15","1,58","1,91","1,91","1,62","1,33","1,38",3,2,"2,33","1,67","1,4","1,1","2,5",4,7,5,6,9,13,8,4,12,"2,07",8,"1,97","1,21","3,65","1,38","2,65","1,68","2,02","2,08","1,64","2,65","1,38"
41,7373220,Brazil Serie A,2024,2024-05-04 21:00:00,5,Corinthians,Fortaleza,0,0,0,0,0,0,[],[],"3,1","1,91","4,33","1,53","2,38","3,5","1,29",11,"1,05","2,25","3,2","3,5","1,08","6,5","1,44","2,6","2,6","1,48","2,2","1,62","1,29","1,35","1,73",2,3,"1,67",2,"1,3","0,8","2,1",10,3,6,4,16,7,9,5,14,"1,61",8,"2,75","1,28","3,1","1,5","2,3","2,1","1,81","2,35","1,48","3,1","1,28"
42,7373222,Brazil Serie A,2024,2024-05-05 16:00:00,5,Atlético PR,Vasco da Gama,1,0,1,1,0,1,['26'],[],"2,38","2,1","5,5","1,4","2,75",3,"1,36",9,"1,07","1,67","3,6",5,"1,05",9,"1,33","3,2","2,04","1,73","2,05","1,7","1,15","1,25","2,3",3,0,3,0,"1,32","1,5","2,82",8,2,13,6,21,8,6,5,11,"1,49","8,5","3,15","1,21","3,65","1,38","2,63","2,1","2,02","2,08","1,64","2,65","1,38"
43,7373217,Brazil Serie A,2024,2024-05-05 16:00:00,5,Vitória,São Paulo,0,1,1,1,3,4,['49'],"['45', '53', '84']","4,33","1,95",3,"1,53","2,38","3,75","1,25",11,"1,05","3,7","2,9","2,18","1,1","7,5","1,5","2,6","2,27","1,59","2,05","1,7","1,65","1,3","1,33","0,5","1,5","0,33",2,"1,47","1,35","2,82",3,9,2,8,5,17,3,8,11,"2,23","7,5","1,87","1,27","3,15","1,5","2,32","2,38","1,81","2,38","1,48","3,1","1,28"
44,7373219,Brazil Serie A,2024,2024-05-05 18:30:00,5,Botafogo,Bahia,0,1,1,1,2,3,['63'],"['45+3', '86']","2,88","2,2","3,75","1,4","2,75","2,75","1,4",8,"1,08","1,81","3,45","4,3","1,05",11,"1,29","3,4","2,05","1,67","1,75",2,"1,25","1,29","1,91",3,"0,5",2,"1,33","1,46","1,42","2,88",7,5,10,5,17,10,5,1,6,"1,9","7,5","2,17","1,22","3,5","1,42","2,55","2,38","1,97","2,14","1,6","2,75","1,35"
45,7373223,Brazil Serie A,2024,2024-05-05 18:30:00,5,Cuiabá,Palmeiras,0,1,1,0,2,2,[],"['45+1', '71']",6,"1,95","2,5","1,53","2,38","3,5","1,29",11,"1,05","3,96","3,35","1,91","1,09",8,"1,47","2,7","2,26","1,54","2,25","1,57","2,05","1,25","1,17",0,2,0,"2,33","0,52","1,18","1,7",2,7,6,6,8,13,6,6,12,"2,95",8,"1,54","1,28","3,1","1,52","2,28","2,2","1,8","2,4","1,47","3,15","1,27"
46,7373228,Brazil Serie A,2024,2024-05-11 16:00:00,6,Flamengo,Corinthians,1,0,1,2,0,2,"['20', '63']",[],"2,25","2,2",6,"1,44","2,63","3,25","1,33",10,"1,06","1,6","3,8","6,25","1,09","8,6","1,38",3,"2,15","1,7","2,05","1,7","1,13","1,2","2,3","1,5",0,2,0,"1,36","1,47","2,83",10,4,4,5,14,9,13,6,19,"1,4",9,"3,6","1,24","3,3","1,46","2,43","2,2","1,9","2,23","1,55","2,9","1,32"